System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
Total Portfolio Value A,2025/02/01,,,97.25969919,,,0.015304561,,,,,-6.625245636
Total Portfolio Value A,2025/02/03,,,96.23483683,,,-1.053737942,,,,,-7.609170851
Total Portfolio Value A,2025/02/04,,,97.44291158,,,1.255340364,,,,,-6.449351479
Total Portfolio Value A,2025/02/05,,,97.47258372,,,0.030450787,,,,,-6.420864571
Total Portfolio Value A,2025/02/06,,,97.07746999,,,-0.405358837,,,,,-6.800195866
Total Portfolio Value A,2025/02/07,,,96.44974928,,,-0.646618325,,,,,-7.402842878
Total Portfolio Value A,2025/02/10,,,95.34950577,,,-1.140742736,,,,,-8.459138222
Total Portfolio Value A,2025/02/11,,,95.29924136,,,-0.052715962,,,,,-8.507394867
Total Portfolio Value A,2025/02/12,,,95.26783666,,,-0.032953775,,,,,-8.537545135
Total Portfolio Value A,2025/02/13,,,95.30750111,,,0.041634665,,,,,-8.499465048
Total Portfolio Value A,2025/02/14,,,96.28148238,,,1.021935585,,,,,-7.56438852
Total Portfolio Value A,2025/02/17,,,95.59543012,,,-0.712548498,,,,,-8.223037081
Total Portfolio Value A,2025/02/18,,,94.70747572,,,-0.928866993,,,,,-9.075522997
Total Portfolio Value A,2025/02/19,,,95.20277473,,,0.522977731,,,,,-8.60000823
Total Portfolio Value A,2025/02/20,,,95.24006174,,,0.039165881,,,,,-8.564210618
Total Portfolio Value A,2025/02/21,,,95.07693092,,,-0.171283816,,,,,-8.720825327
Total Portfolio Value A,2025/02/24,,,94.37229525,,,-0.7411216,,,,,-9.397315007
Total Portfolio Value A,2025/02/25,,,94.40431508,,,0.033929265,,,,,-9.366574181
Total Portfolio Value A,2025/02/27,,,93.9317217,,,-0.500605692,,,,,-9.82029027
Total Portfolio Value A,2025/02/28,,,93.9397789,,,0.008577714,,,,,-9.812554912
Total Portfolio Value A,2025/03/03,,,92.14588011,,,-1.90962637,,,,,-11.53479815
Total Portfolio Value A,2025/03/04,,,91.19610451,,,-1.0307304,,,,,-12.44663588
Total Portfolio Value A,2025/03/05,,,90.20810833,,,-1.083375419,,,,,-13.3951675
Total Portfolio Value A,2025/03/06,,,91.27630623,,,1.184148437,,,,,-12.36963773
Total Portfolio Value A,2025/03/07,,,92.21381103,,,1.027106411,,,,,-11.46958066
