System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QYE NLONG16,2025-12-18,-1794.30,0.00,100.89,101.06,-1794.30,-0.17,1057643.94,0.00,1057643.94,0.00,-0.20
QYE NLONG17,2025-12-18,-1794.30,0.00,100.76,100.93,-1794.30,-0.17,1057643.94,0.00,1057643.94,0.00,-0.18
QYE NLONG18,2025-12-18,-1794.30,0.00,100.82,100.99,-1794.30,-0.17,1057643.94,0.00,1057643.94,0.00,-0.22
QYE NLONG19,2025-12-18,-1794.30,0.00,100.37,100.54,-1794.30,-0.17,1057643.94,0.00,1057643.94,0.00,-0.24
QYE NLONG2,2025-12-18,0.00,0.00,100.91,100.91,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG20,2025-12-18,-1794.30,0.00,100.43,100.60,-1794.30,-0.17,1057643.94,0.00,1057643.94,0.00,-0.20
QYE NLONG21,2025-12-18,-1794.30,0.00,100.13,100.30,-1794.30,-0.17,1057643.94,0.00,1057643.94,0.00,-0.18
QYE NLONG22,2025-12-18,-1794.30,0.00,100.01,100.18,-1794.30,-0.17,1057643.94,0.00,1057643.94,0.00,-0.22
QYE NLONG23,2025-12-18,-1081.41,0.00,100.12,100.22,-1081.41,-0.10,1057643.94,0.00,1057643.94,0.00,-0.16
QYE NLONG24,2025-12-18,-1081.41,0.00,100.16,100.26,-1081.41,-0.10,1057643.94,0.00,1057643.94,0.00,-0.12
QYE NLONG3,2025-12-18,-7151.99,0.00,100.63,101.32,-7151.99,-0.68,1057643.94,0.00,1057643.94,0.00,-0.68
QYE NLONG4,2025-12-18,0.00,0.00,100.98,100.98,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG5,2025-12-18,-7151.99,0.00,100.70,101.39,-7151.99,-0.68,1057643.94,0.00,1057643.94,0.00,-0.68
QYE NLONG6,2025-12-18,0.00,0.00,100.91,100.91,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG7,2025-12-18,-7151.99,0.00,100.64,101.33,-7151.99,-0.68,1057643.94,0.00,1057643.94,0.00,-0.68
QYE NLONG8,2025-12-18,0.00,0.00,101.11,101.11,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG9,2025-12-18,-7151.99,0.00,100.70,101.39,-7151.99,-0.68,1057643.94,0.00,1057643.94,0.00,-0.68
QYE SLONG1,2025-12-18,0.00,0.00,100.41,100.41,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG10,2025-12-18,0.00,0.00,100.41,100.41,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG11,2025-12-18,0.00,0.00,99.87,99.87,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.54
QYE SLONG12,2025-12-18,0.00,0.00,100.06,100.06,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.26
QYE SLONG13,2025-12-18,-1719.89,0.00,100.02,100.18,-1719.89,-0.16,1057643.94,0.00,1057643.94,0.00,-0.16
QYE SLONG14,2025-12-18,-1719.89,0.00,99.73,99.89,-1719.89,-0.16,1057643.94,0.00,1057643.94,0.00,-0.27
QYE SLONG15,2025-12-18,-15588.70,0.00,97.95,99.42,-15588.70,-1.47,1057643.94,0.00,1057643.94,0.00,-2.05
QYE SLONG16,2025-12-18,-8943.93,0.00,99.14,99.99,-8943.93,-0.85,1057643.94,0.00,1057643.94,0.00,-0.87
QYE SLONG17,2025-12-18,-1719.89,0.00,100.02,100.18,-1719.89,-0.16,1057643.94,0.00,1057643.94,0.00,-0.16
QYE SLONG18,2025-12-18,-1719.89,0.00,99.73,99.89,-1719.89,-0.16,1057643.94,0.00,1057643.94,0.00,-0.27
QYE SLONG19,2025-12-18,-15588.70,0.00,97.92,99.38,-15588.70,-1.47,1057643.94,0.00,1057643.94,0.00,-2.08
QYE SLONG2,2025-12-18,0.00,0.00,100.26,100.26,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG20,2025-12-18,-8943.93,0.00,99.13,99.98,-8943.93,-0.85,1057643.94,0.00,1057643.94,0.00,-0.87
QYE SLONG21,2025-12-18,-1719.89,0.00,99.90,100.06,-1719.89,-0.16,1057643.94,0.00,1057643.94,0.00,-0.16
QYE SLONG22,2025-12-18,-1719.89,0.00,99.63,99.79,-1719.89,-0.16,1057643.94,0.00,1057643.94,0.00,-0.37
QYE SLONG23,2025-12-18,-14893.67,0.00,97.88,99.28,-14893.67,-1.41,1057643.94,0.00,1057643.94,0.00,-2.12
QYE SLONG24,2025-12-18,-9015.31,0.00,99.05,99.90,-9015.31,-0.85,1057643.94,0.00,1057643.94,0.00,-0.95
QYE SLONG3,2025-12-18,0.00,0.00,99.37,99.37,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.69
QYE SLONG4,2025-12-18,0.00,0.00,99.79,99.79,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.26
QYE SLONG5,2025-12-18,0.00,0.00,100.41,100.41,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG6,2025-12-18,0.00,0.00,100.27,100.27,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE SLONG7,2025-12-18,0.00,0.00,99.34,99.34,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.72
QYE SLONG8,2025-12-18,0.00,0.00,99.79,99.79,0.00,0.00,1057643.94,0.00,1057643.94,0.00,-0.26
QYE SLONG9,2025-12-18,0.00,0.00,100.57,100.57,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE Liquidcase Stock Holdings,2025-12-18,45647487.52,0.00,100.27,100.26,4080.04,0.01,45643407.48,45643407.48,45635247.40,8160.08,0.00
QYE Debt Stock Holdings,2025-12-18,45647487.52,0.00,100.27,100.26,4080.04,0.01,45643407.48,45643407.48,45635247.40,8160.08,0.00
QYE Stock Holdings,2025-12-18,45647487.52,0.00,100.27,100.26,4080.04,0.01,45643407.48,45643407.48,45635247.40,8160.08,0.00
QYE Miscellaneous P&L,2025-12-18,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Total Tax,2025-12-18,-2754.02,2343.92,100.00,100.00,-2754.02,0.00,0.00,-2343.92,0.00,0.00,0.00
QYE Equity Holdings Tax,2025-12-18,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Equity Intraday Tax,2025-12-18,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE F&O Tax,2025-12-18,-2754.02,2343.92,100.00,100.00,-2754.02,0.00,0.00,-2343.92,0.00,0.00,0.00
QYE MCX Tax,2025-12-18,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Total Other Debits and Credits,2025-12-18,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE Equity Other Debits and Credits,2025-12-18,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE NPSAR,2025-12-18,6324415.78,-25319.18,100.40,100.48,-21447.87,-0.08,25383454.61,6371182.86,25383454.61,25319.21,-0.17
QYE SPSAR,2025-12-18,6351333.42,-62497.25,100.44,100.42,5469.77,0.02,25383454.61,6408360.93,25383454.61,62497.28,0.00
QYE NLONG,2025-12-18,-63017.76,0.00,100.67,100.92,-63017.76,-0.25,25383454.56,0.00,25383454.56,0.00,-0.25
