System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
Miscellaneous P&L,2026-01-30,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Tax,2026-01-30,-3446.44,3905.74,100.00,100.00,-3446.44,0.00,0.00,-3905.74,0.00,0.00,0.00
Equity Holdings Tax,2026-01-30,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equity Intraday Tax,2026-01-30,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F&O Tax,2026-01-30,-3446.44,3905.74,100.00,100.00,-3446.44,0.00,0.00,-3905.74,0.00,0.00,0.00
MCX Tax,2026-01-30,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Other Debits and Credits,2026-01-30,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equity Other Debits and Credits,2026-01-30,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NPSAR,2026-01-30,2859004.25,-25628.66,99.61,100.08,-110166.32,-0.46,23753364.57,2994799.22,23911860.63,5816.64,-0.84
SPSAR,2026-01-30,2877063.55,-37239.19,100.05,100.44,-92107.02,-0.39,23753364.57,3006409.75,23911860.63,17427.17,-0.59
NLONG,2026-01-30,-90066.74,-25723.95,100.75,101.13,-90066.74,-0.38,23753364.48,25723.95,23911860.48,25723.95,-0.94
SLONG,2026-01-30,-78674.40,-5240.28,100.26,100.60,-78674.40,-0.33,23753364.48,5240.28,23911860.48,5240.28,-0.92
PSAR,2026-01-30,5736067.80,-62867.85,99.83,100.26,-202273.34,-0.43,47506729.14,6001208.97,47823721.26,23243.81,-0.71
LONG,2026-01-30,-168741.14,-30964.23,100.51,100.86,-168741.14,-0.36,47506728.96,30964.23,47823720.96,30964.23,-0.89
Total Portfolio Value,2026-01-30,5563880.22,-89926.34,100.26,101.06,-374460.92,-0.79,47506729.00,6028267.46,47823721.00,50302.30,-1.63
Zerodha Total Portfolio,2026-01-30,47435758.86,0.00,98.88,99.19,-145996.57,-0.31,47581755.43,47581755.43,47679816.58,-98061.15,-1.12
NPSAR1,2026-02-01,180543.55,-6156.12,102.13,100.83,16851.25,1.29,1309538.43,169848.42,1319631.37,4894.50,0.00
NPSAR10,2026-02-01,386918.40,20139.61,100.39,99.76,18610.72,0.63,2946461.44,348168.07,2969170.56,-22978.25,-0.43
NPSAR11,2026-02-01,379792.50,14078.66,98.83,98.45,11484.82,0.39,2946461.44,354229.02,2969170.56,-16917.30,-1.40
NPSAR12,2026-02-01,358490.83,7950.21,98.50,98.83,-9816.85,-0.33,2946461.44,360357.47,2969170.56,-10788.85,-2.20
NPSAR13,2026-02-01,365171.75,18902.63,98.61,98.72,-3135.93,-0.11,2946461.44,349405.05,2969170.56,-21741.27,-2.11
NPSAR2,2026-02-01,147897.31,2856.13,98.93,100.14,-15794.99,-1.21,1309538.43,160836.17,1319631.37,-4117.75,-1.85
