System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
Stock Holdings,2026-01-16,36077382.60,36026449.30,100.14,100.00,50933.30,0.14,36026449.30,0.00,0.00,0.00,0.00
Small Cap Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Small Cap Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Equity Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
Equity Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
Mutual Funds,2026-01-16,125681240.13,126233513.47,99.56,100.00,-552273.34,-0.44,126233513.47,0.00,0.00,0.00,-0.44
QYE++ Miscellaneous P&L,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Miscellaneous P&L,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Equity Holdings Tax,2026-01-16,-1140.49,0.00,100.00,100.00,-1140.49,0.00,0.00,0.00,0.00,0.00,0.00
QAW++ Equity Holdings Tax,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Equity Holdings Tax,2026-01-16,-1140.49,0.00,100.00,100.00,-1140.49,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Total Tax,2026-01-16,-12103.81,0.00,100.00,100.00,-12103.81,0.00,0.00,0.00,0.00,0.00,0.00
Total Tax,2026-01-16,-12103.81,0.00,100.00,100.00,-12103.81,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ F&O Tax,2026-01-16,-10963.32,0.00,100.00,100.00,-10963.32,0.00,0.00,0.00,0.00,0.00,0.00
F&O Tax,2026-01-16,-10963.32,0.00,100.00,100.00,-10963.32,0.00,0.00,0.00,0.00,0.00,0.00
Equity Intraday Tax,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCX Tax,2026-01-16,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Total Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
Total Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ Equity Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
Equity Other Debits and Credits,2026-01-16,-6524.08,0.00,100.00,100.00,-6524.08,0.00,0.00,0.00,0.00,0.00,0.00
QYE++ NPSAR,2026-01-16,22314888.71,22541689.21,99.75,100.00,-226800.50,-0.25,90166756.85,0.00,0.00,0.00,-0.25
NPSAR,2026-01-16,22314888.71,22541689.21,99.75,100.00,-226800.50,-0.25,90166756.85,0.00,0.00,0.00,-0.25
QYE++ SPSAR,2026-01-16,22185308.63,22541689.21,99.60,100.00,-356380.58,-0.40,90166756.85,0.00,0.00,0.00,-0.40
SPSAR,2026-01-16,22185308.63,22541689.21,99.60,100.00,-356380.58,-0.40,90166756.85,0.00,0.00,0.00,-0.40
QYE++ NLONG,2026-01-16,-216371.71,0.00,99.76,100.00,-216371.71,-0.24,90166756.56,0.00,0.00,0.00,-0.24
NLONG,2026-01-16,-216371.71,0.00,99.76,100.00,-216371.71,-0.24,90166756.56,0.00,0.00,0.00,-0.24
QYE++ SLONG,2026-01-16,-171159.94,0.00,99.81,100.00,-171159.94,-0.19,90166756.56,0.00,0.00,0.00,-0.19
SLONG,2026-01-16,-171159.94,0.00,99.81,100.00,-171159.94,-0.19,90166756.56,0.00,0.00,0.00,-0.19
QYE++ PSAR,2026-01-16,44500197.35,45083378.43,99.68,100.00,-583181.08,-0.32,180333513.70,0.00,0.00,0.00,-0.32
PSAR,2026-01-16,44500197.35,45083378.43,99.68,100.00,-583181.08,-0.32,180333513.70,0.00,0.00,0.00,-0.32
QYE++ LONG,2026-01-16,-387531.65,0.00,99.79,100.00,-387531.65,-0.21,180333513.12,0.00,0.00,0.00,-0.21
LONG,2026-01-16,-387531.65,0.00,99.79,100.00,-387531.65,-0.21,180333513.12,0.00,0.00,0.00,-0.21
QYE++ Total Portfolio Value,2026-01-16,44101702.37,45083378.42,99.46,100.00,-981676.05,-0.54,180333513.00,0.00,0.00,0.00,-0.54
Total Portfolio Value,2026-01-16,44101702.37,45083378.42,99.46,100.00,-981676.05,-0.54,180333513.00,0.00,0.00,0.00,-0.54
