System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,,,,,,,,,,,,
SLONG18,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG19,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG2,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
SLONG20,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG21,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG22,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG23,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG24,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG3,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG4,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
SLONG5,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG6,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
SLONG7,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
SLONG8,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
SLONG9,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW NPSAR1,2025-11-24,347080.69,346870.69,100.02,100.00,210.00,0.02,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR10,2025-11-24,778846.76,780459.05,99.95,100.00,-1612.29,-0.05,3121836.19,0.00,0.00,0.00,-0.05,,,,,,,,,,,,
QAW NPSAR11,2025-11-24,779959.85,780459.05,99.98,100.00,-499.20,-0.02,3121836.19,0.00,0.00,0.00,-0.02,,,,,,,,,,,,
QAW NPSAR12,2025-11-24,779959.85,780459.05,99.98,100.00,-499.20,-0.02,3121836.19,0.00,0.00,0.00,-0.02,,,,,,,,,,,,
QAW NPSAR13,2025-11-24,781928.48,780459.05,100.05,100.00,1469.43,0.05,3121836.19,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR2,2025-11-24,347080.69,346870.69,100.02,100.00,210.00,0.02,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR3,2025-11-24,347080.69,346870.69,100.02,100.00,210.00,0.02,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR4,2025-11-24,346994.04,346870.69,100.01,100.00,123.35,0.01,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR5,2025-11-24,348976.22,346870.69,100.15,100.00,2105.53,0.15,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR6,2025-11-24,351785.30,346870.69,100.35,100.00,4914.61,0.35,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR7,2025-11-24,352650.84,346870.69,100.42,100.00,5780.15,0.42,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR8,2025-11-24,352914.01,346870.69,100.44,100.00,6043.32,0.44,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NPSAR9,2025-11-24,352214.44,346870.69,100.39,100.00,5343.75,0.39,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW SPSAR1,2025-11-24,343306.69,346870.69,99.74,100.00,-3564.00,-0.26,1387482.76,0.00,0.00,0.00,-0.26,,,,,,,,,,,,
QAW SPSAR10,2025-11-24,775649.67,780459.05,99.85,100.00,-4809.38,-0.15,3121836.19,0.00,0.00,0.00,-0.15,,,,,,,,,,,,
QAW SPSAR11,2025-11-24,773830.97,780459.05,99.79,100.00,-6628.08,-0.21,3121836.19,0.00,0.00,0.00,-0.21,,,,,,,,,,,,
QAW SPSAR12,2025-11-24,775710.45,780459.05,99.85,100.00,-4748.60,-0.15,3121836.19,0.00,0.00,0.00,-0.15,,,,,,,,,,,,
QAW SPSAR13,2025-11-24,778709.69,780459.05,99.94,100.00,-1749.36,-0.06,3121836.19,0.00,0.00,0.00,-0.06,,,,,,,,,,,,
QAW SPSAR2,2025-11-24,343306.69,346870.69,99.74,100.00,-3564.00,-0.26,1387482.76,0.00,0.00,0.00,-0.26,,,,,,,,,,,,
QAW SPSAR3,2025-11-24,343306.69,346870.69,99.74,100.00,-3564.00,-0.26,1387482.76,0.00,0.00,0.00,-0.26,,,,,,,,,,,,
QAW SPSAR4,2025-11-24,342185.71,346870.69,99.66,100.00,-4684.98,-0.34,1387482.76,0.00,0.00,0.00,-0.34,,,,,,,,,,,,
QAW SPSAR5,2025-11-24,341338.96,346870.69,99.60,100.00,-5531.73,-0.40,1387482.76,0.00,0.00,0.00,-0.40,,,,,,,,,,,,
QAW SPSAR6,2025-11-24,350334.97,346870.69,100.25,100.00,3464.28,0.25,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW SPSAR7,2025-11-24,354039.95,346870.69,100.52,100.00,7169.26,0.52,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW SPSAR8,2025-11-24,354264.69,346870.69,100.53,100.00,7394.00,0.53,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW SPSAR9,2025-11-24,354264.69,346870.69,100.53,100.00,7394.00,0.53,1387482.76,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW DMA1,2025-11-24,0.00,0.00,100.00,100.00,0.00,0.00,20981019.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG1,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG10,2025-11-24,-1804.07,0.00,99.83,100.00,-1804.07,-0.17,1040612.06,0.00,0.00,0.00,-0.17,,,,,,,,,,,,
QAW NLONG11,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG12,2025-11-24,-1804.07,0.00,99.83,100.00,-1804.07,-0.17,1040612.06,0.00,0.00,0.00,-0.17,,,,,,,,,,,,
