System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,,,,
SPSAR13,2025-08-06,416125.25,194.70,102.48,102.50,-811.89,-0.02,3335497.12,416742.44,3352394.25,-2306.84,-0.20,,,,
SPSAR2,2025-08-06,188133.40,-2876.62,102.24,102.05,2828.00,0.19,1482443.18,188182.02,1489953.01,1937.89,0.00,,,,
SPSAR3,2025-08-06,188133.40,-7208.84,100.33,100.14,2828.00,0.19,1482443.18,192514.24,1489953.01,6270.11,-0.87,,,,
SPSAR4,2025-08-06,188133.40,-7208.84,101.38,101.19,2828.00,0.19,1482443.18,192514.24,1489953.01,6270.11,-0.46,,,,
SPSAR5,2025-08-06,188133.40,-7208.84,101.30,101.11,2828.00,0.19,1482443.18,192514.24,1489953.01,6270.11,-0.17,,,,
SPSAR6,2025-08-06,188133.40,-5839.33,102.15,101.96,2828.00,0.19,1482443.18,191144.73,1489953.01,4900.60,0.00,,,,
SPSAR7,2025-08-06,188133.40,-5839.33,100.83,100.64,2828.00,0.19,1482443.18,191144.73,1489953.01,4900.60,-0.97,,,,
SPSAR8,2025-08-06,188133.40,-4654.50,101.34,101.15,2828.00,0.19,1482443.18,189959.90,1489953.01,3715.77,-0.74,,,,
SPSAR9,2025-08-06,188133.40,-4654.50,101.74,101.55,2828.00,0.19,1482443.18,189959.90,1489953.01,3715.77,-0.74,,,,
NLONG1,2025-08-06,0.00,2125.84,100.53,100.53,0.00,0.00,1111832.38,-2125.84,1117464.75,-2125.84,-1.14,,,,
NLONG10,2025-08-06,0.00,0.00,101.34,101.34,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.03,,,,
NLONG11,2025-08-06,0.00,1537.13,97.12,97.12,0.00,0.00,1111832.38,-1537.13,1117464.75,-1537.13,-3.96,,,,
NLONG12,2025-08-06,0.00,0.00,99.73,99.73,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.60,,,,
NLONG13,2025-08-06,0.00,0.00,98.28,98.28,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.21,,,,
NLONG14,2025-08-06,0.00,0.00,97.77,97.77,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.72,,,,
NLONG15,2025-08-06,0.00,0.00,98.37,98.37,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.17,,,,
NLONG16,2025-08-06,0.00,0.00,98.24,98.24,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.48,,,,
NLONG17,2025-08-06,0.00,0.00,97.96,97.96,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.53,,,,
NLONG18,2025-08-06,0.00,0.00,97.61,97.61,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.88,,,,
NLONG19,2025-08-06,0.00,0.00,98.15,98.15,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.80,,,,
NLONG2,2025-08-06,0.00,0.00,100.48,100.48,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.00,,,,
NLONG20,2025-08-06,0.00,0.00,98.12,98.12,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.94,,,,
NLONG21,2025-08-06,0.00,0.00,96.87,96.87,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-3.39,,,,
NLONG22,2025-08-06,0.00,0.00,96.62,96.62,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-3.66,,,,
NLONG23,2025-08-06,0.00,0.00,97.20,97.20,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-3.21,,,,
NLONG24,2025-08-06,0.00,0.00,96.08,96.08,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-3.92,,,,
NLONG3,2025-08-06,0.00,1537.13,98.27,98.27,0.00,0.00,1111832.38,-1537.13,1117464.75,-1537.13,-2.18,,,,
NLONG4,2025-08-06,0.00,0.00,97.17,97.17,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.83,,,,
NLONG5,2025-08-06,0.00,2125.84,100.38,100.38,0.00,0.00,1111832.38,-2125.84,1117464.75,-2125.84,-1.14,,,,
NLONG6,2025-08-06,0.00,0.00,100.30,100.30,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.01,,,,
NLONG7,2025-08-06,0.00,1537.13,98.75,98.75,0.00,0.00,1111832.38,-1537.13,1117464.75,-1537.13,-2.34,,,,
NLONG8,2025-08-06,0.00,0.00,99.69,99.69,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.64,,,,
NLONG9,2025-08-06,0.00,2125.84,100.47,100.47,0.00,0.00,1111832.38,-2125.84,1117464.75,-2125.84,-1.21,,,,
SLONG1,2025-08-06,0.00,0.00,101.32,101.32,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.75,,,,
SLONG10,2025-08-06,-356.76,1613.76,102.20,102.23,-356.76,-0.03,1111832.38,-1613.76,1117464.75,-1613.76,-0.86,,,,
SLONG11,2025-08-06,0.00,0.00,104.52,104.52,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.43,,,,
SLONG12,2025-08-06,0.00,5933.80,102.84,102.84,0.00,0.00,1111832.38,-5933.80,1117464.75,-5933.80,-1.26,,,,
SLONG13,2025-08-06,0.00,0.00,100.17,100.17,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.01,,,,
SLONG14,2025-08-06,0.00,0.00,99.34,99.34,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.99,,,,
SLONG15,2025-08-06,0.00,0.00,101.82,101.82,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.78,,,,
SLONG16,2025-08-06,0.00,0.00,102.11,102.11,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.84,,,,
SLONG17,2025-08-06,0.00,0.00,99.03,99.03,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.29,,,,
SLONG18,2025-08-06,0.00,0.00,98.72,98.72,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.60,,,,
SLONG19,2025-08-06,0.00,0.00,100.63,100.63,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-1.03,,,,
SLONG2,2025-08-06,-356.76,2041.09,102.06,102.09,-356.76,-0.03,1111832.38,-2041.09,1117464.75,-2041.09,-0.90,,,,
SLONG20,2025-08-06,0.00,0.00,101.06,101.06,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.90,,,,
SLONG21,2025-08-06,0.00,0.00,98.03,98.03,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.16,,,,
SLONG22,2025-08-06,0.00,0.00,97.81,97.81,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.38,,,,
SLONG23,2025-08-06,0.00,0.00,97.99,97.99,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.27,,,,
SLONG24,2025-08-06,0.00,0.00,97.86,97.86,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-2.30,,,,
SLONG3,2025-08-06,0.00,0.00,102.61,102.61,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.52,,,,
SLONG4,2025-08-06,0.00,5423.76,102.84,102.84,0.00,0.00,1111832.38,-5423.76,1117464.75,-5423.76,-1.21,,,,
SLONG5,2025-08-06,0.00,0.00,101.04,101.04,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.76,,,,
SLONG6,2025-08-06,-356.76,1613.76,101.96,101.99,-356.76,-0.03,1111832.38,-1613.76,1117464.75,-1613.76,-0.87,,,,
SLONG7,2025-08-06,0.00,0.00,102.48,102.48,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.52,,,,
SLONG8,2025-08-06,0.00,5933.80,102.69,102.69,0.00,0.00,1111832.38,-5933.80,1117464.75,-5933.80,-1.25,,,,
SLONG9,2025-08-06,0.00,0.00,102.02,102.02,0.00,0.00,1111832.38,0.00,1117464.75,0.00,-0.76,,,,
Large Cap Stock Holdings,2025-08-06,18449550.00,0.00,97.53,97.74,-38050.00,-0.21,18487600.00,18487600.00,18746100.00,-258500.00,-6.37,,,,
Liquidbees Stock Holdings,2025-08-06,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Liquidcase Stock Holdings,2025-08-06,4426844.20,0.00,100.66,100.65,403.10,0.01,4426441.10,4426441.10,4425634.90,806.20,0.00,,,,
Small Cap Stock Holdings,2025-08-06,26616044.00,0.00,97.05,98.43,-376688.00,-1.40,26992732.00,26992732.00,27026358.00,-33626.00,-7.22,,,,
Debt Stock Holdings,2025-08-06,4426844.20,0.00,100.65,100.64,403.10,0.01,4426441.10,4426441.10,4425634.90,806.20,0.00,,,,
Equity Stock Holdings,2025-08-06,45065594.00,0.00,97.26,98.15,-414738.00,-0.91,45480332.00,45480332.00,45772458.00,-292126.00,-6.87,,,,
Stock Holdings,2025-08-06,49492438.20,0.00,97.56,98.38,-414334.90,-0.83,49906773.10,49906773.10,50198092.90,-291319.80,-6.25,,,,
Miscellaneous P&L,2025-08-06,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Total Tax,2025-08-06,-1614.79,1850.60,100.00,100.00,-1614.79,0.00,0.00,-1850.60,0.00,0.00,0.00,,,,
Equity Holdings Tax,2025-08-06,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Equity Intraday Tax,2025-08-06,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
F&O Tax,2025-08-06,-1614.79,1850.60,100.00,100.00,-1614.79,0.00,0.00,-1850.60,0.00,0.00,0.00,,,,
MCX Tax,2025-08-06,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Total Other Debits and Credits,2025-08-06,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Equity Other Debits and Credits,2025-08-06,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
NPSAR,2025-08-06,3345738.52,-34311.77,102.00,101.96,10241.38,0.04,26683977.10,3369808.88,26819154.09,17414.62,-0.54,,,,
SPSAR,2025-08-06,3338806.27,-57577.87,102.05,102.03,3309.13,0.01,26683977.10,3393074.98,26819154.09,40680.72,-0.16,,,,
NLONG,2025-08-06,0.00,10988.91,98.56,98.56,0.00,0.00,26683977.12,-10988.91,26819154.00,-10988.91,-2.04,,,,
SLONG,2025-08-06,-1070.28,22559.97,100.96,100.96,-1070.28,0.00,26683977.12,-22559.97,26819154.00,-22559.97,-0.88,,,,
PSAR,2025-08-06,6684544.79,-91889.65,102.02,102.00,13550.51,0.03,53367954.20,6762883.86,53638308.18,58095.34,-0.35,,,,
LONG,2025-08-06,-1070.28,33548.88,98.76,98.76,-1070.28,0.00,53367954.24,-33548.88,53638308.00,-33548.88,-1.75,,,,
Total Portfolio Value,2025-08-06,6681859.72,-56490.17,100.67,100.65,10865.44,0.02,53367954.00,6727484.38,53638308.00,22695.86,-1.52,,,,
Zerodha Total Portfolio,2025-08-06,52938662.44,0.00,98.35,99.10,-403469.46,-0.76,53342131.90,53342131.90,53610755.84,-268623.94,-6.28,,,,
NPSAR1,2025-08-07,181782.88,-2847.74,103.81,103.95,-1983.53,-0.13,1470131.26,186614.15,1482443.18,1308.75,-0.13,,,,
NPSAR10,2025-08-07,429632.42,4645.35,102.23,101.73,16158.01,0.49,3307795.31,408829.06,3335497.12,-8108.08,-1.08,,,,
NPSAR11,2025-08-07,433150.08,2089.89,104.24,103.62,19675.67,0.59,3307795.31,411384.52,3335497.12,-5552.62,0.00,,,,
NPSAR12,2025-08-07,432612.43,-1666.71,102.15,101.56,19138.02,0.58,3307795.31,415141.12,3335497.12,-1796.02,0.00,,,,
NPSAR13,2025-08-07,432575.25,-3428.33,101.37,100.79,19100.84,0.58,3307795.31,416902.74,3335497.12,-34.40,-1.20,,,,
NPSAR2,2025-08-07,181782.88,-2847.74,102.44,102.58,-1983.53,-0.13,1470131.26,186614.15,1482443.18,1308.75,-0.14,,,,
NPSAR3,2025-08-07,184185.21,-5228.99,99.99,99.96,418.80,0.03,1470131.26,188995.40,1482443.18,3690.00,-0.79,,,,
NPSAR4,2025-08-07,184185.21,-5228.99,101.30,101.27,418.80,0.03,1470131.26,188995.40,1482443.18,3690.00,-0.28,,,,
NPSAR5,2025-08-07,184185.21,-5228.99,102.08,102.05,418.80,0.03,1470131.26,188995.40,1482443.18,3690.00,0.00,,,,
NPSAR6,2025-08-07,180189.34,-4550.24,101.65,101.90,-3577.07,-0.24,1470131.26,188316.65,1482443.18,3011.25,-1.13,,,,
NPSAR7,2025-08-07,183413.97,-4550.24,101.43,101.45,-352.44,-0.02,1470131.26,188316.65,1482443.18,3011.25,-1.04,,,,
NPSAR8,2025-08-07,184009.19,-4550.24,102.49,102.47,242.78,0.02,1470131.26,188316.65,1482443.18,3011.25,-1.01,,,,
NPSAR9,2025-08-07,185081.69,-4550.24,103.28,103.19,1315.28,0.09,1470131.26,188316.65,1482443.18,3011.25,-0.94,,,,
SPSAR1,2025-08-07,184637.41,-4366.99,103.29,103.23,871.00,0.06,1470131.26,188133.40,1482443.18,2828.00,0.00,,,,
SPSAR10,2025-08-07,424319.22,7446.43,102.11,101.78,10844.81,0.33,3307795.31,406027.98,3335497.12,-10909.16,-0.77,,,,
SPSAR11,2025-08-07,429958.99,3024.96,103.20,102.69,16484.58,0.50,3307795.31,410449.45,3335497.12,-6487.69,0.00,,,,
SPSAR12,2025-08-07,428465.89,471.40,103.41,102.94,14991.48,0.45,3307795.31,413003.01,3335497.12,-3934.13,0.00,,,,
SPSAR13,2025-08-07,428465.89,-2650.84,102.94,102.48,14991.48,0.45,3307795.31,416125.25,3335497.12,-811.89,0.00,,,,
SPSAR2,2025-08-07,184637.41,-4366.99,102.30,102.24,871.00,0.06,1470131.26,188133.40,1482443.18,2828.00,0.00,,,,
SPSAR3,2025-08-07,184637.41,-4366.99,100.39,100.33,871.00,0.06,1470131.26,188133.40,1482443.18,2828.00,-0.81,,,,
SPSAR4,2025-08-07,184637.41,-4366.99,101.44,101.38,871.00,0.06,1470131.26,188133.40,1482443.18,2828.00,-0.40,,,,
SPSAR5,2025-08-07,184637.41,-4366.99,101.36,101.30,871.00,0.06,1470131.26,188133.40,1482443.18,2828.00,-0.11,,,,
SPSAR6,2025-08-07,184637.41,-4366.99,102.21,102.15,871.00,0.06,1470131.26,188133.40,1482443.18,2828.00,0.00,,,,
SPSAR7,2025-08-07,181965.44,-4366.99,100.71,100.83,-1800.97,-0.12,1470131.26,188133.40,1482443.18,2828.00,-1.09,,,,
SPSAR8,2025-08-07,184879.80,-4366.99,101.42,101.34,1113.39,0.08,1470131.26,188133.40,1482443.18,2828.00,-0.67,,,,
SPSAR9,2025-08-07,185318.26,-4366.99,101.85,101.74,1551.85,0.11,1470131.26,188133.40,1482443.18,2828.00,-0.63,,,,
NLONG1,2025-08-07,99.78,0.00,100.54,100.53,99.78,0.01,1102598.44,0.00,1111832.38,0.00,-1.13,,,,
NLONG10,2025-08-07,-4892.54,0.00,100.89,101.34,-4892.54,-0.44,1102598.44,0.00,1111832.38,0.00,-1.46,,,,
NLONG11,2025-08-07,0.00,0.00,97.12,97.12,0.00,0.00,1102598.44,0.00,1111832.38,0.00,-3.96,,,,
NLONG12,2025-08-07,-6015.24,0.00,99.19,99.73,-6015.24,-0.55,1102598.44,0.00,1111832.38,0.00,-2.13,,,,
NLONG13,2025-08-07,-6858.73,0.00,97.67,98.28,-6858.73,-0.62,1102598.44,0.00,1111832.38,0.00,-2.82,,,,
NLONG14,2025-08-07,-5314.45,0.00,97.30,97.77,-5314.45,-0.48,1102598.44,0.00,1111832.38,0.00,-3.18,,,,
NLONG15,2025-08-07,-11267.20,0.00,97.36,98.37,-11267.20,-1.02,1102598.44,0.00,1111832.38,0.00,-3.17,,,,
NLONG16,2025-08-07,-6196.71,0.00,97.69,98.24,-6196.71,-0.56,1102598.44,0.00,1111832.38,0.00,-3.03,,,,
NLONG17,2025-08-07,-6858.73,0.00,97.35,97.96,-6858.73,-0.62,1102598.44,0.00,1111832.38,0.00,-3.13,,,,
NLONG18,2025-08-07,-5314.45,0.00,97.14,97.61,-5314.45,-0.48,1102598.44,0.00,1111832.38,0.00,-3.34,,,,
NLONG19,2025-08-07,-11267.20,0.00,97.15,98.15,-11267.20,-1.02,1102598.44,0.00,1111832.38,0.00,-3.79,,,,
NLONG2,2025-08-07,-4892.54,0.00,100.03,100.48,-4892.54,-0.44,1102598.44,0.00,1111832.38,0.00,-1.45,,,,
NLONG20,2025-08-07,-6196.71,0.00,97.57,98.12,-6196.71,-0.56,1102598.44,0.00,1111832.38,0.00,-3.48,,,,
NLONG21,2025-08-07,3447.46,0.00,97.17,96.87,3447.46,0.31,1102598.44,0.00,1111832.38,0.00,-3.09,,,,
NLONG22,2025-08-07,3447.46,0.00,96.92,96.62,3447.46,0.31,1102598.44,0.00,1111832.38,0.00,-3.36,,,,
NLONG23,2025-08-07,8399.02,0.00,97.94,97.20,8399.02,0.76,1102598.44,0.00,1111832.38,0.00,-2.47,,,,
NLONG24,2025-08-07,15841.76,0.00,97.46,96.08,15841.76,1.44,1102598.44,0.00,1111832.38,0.00,-2.54,,,,
NLONG3,2025-08-07,0.00,0.00,98.27,98.27,0.00,0.00,1102598.44,0.00,1111832.38,0.00,-2.18,,,,
NLONG4,2025-08-07,-6015.24,0.00,96.64,97.17,-6015.24,-0.55,1102598.44,0.00,1111832.38,0.00,-3.36,,,,
NLONG5,2025-08-07,99.78,0.00,100.39,100.38,99.78,0.01,1102598.44,0.00,1111832.38,0.00,-1.13,,,,
NLONG6,2025-08-07,-4892.54,0.00,99.85,100.30,-4892.54,-0.44,1102598.44,0.00,1111832.38,0.00,-1.45,,,,
NLONG7,2025-08-07,0.00,0.00,98.75,98.75,0.00,0.00,1102598.44,0.00,1111832.38,0.00,-2.34,,,,
NLONG8,2025-08-07,-6015.24,0.00,99.15,99.69,-6015.24,-0.55,1102598.44,0.00,1111832.38,0.00,-2.17,,,,
NLONG9,2025-08-07,99.78,0.00,100.48,100.47,99.78,0.01,1102598.44,0.00,1111832.38,0.00,-1.20,,,,
SLONG1,2025-08-07,-241.44,0.00,101.30,101.32,-241.44,-0.02,1102598.44,0.00,1111832.38,0.00,-0.77,,,,
SLONG10,2025-08-07,-7615.75,356.76,101.49,102.20,-7615.75,-0.69,1102598.44,-356.76,1111832.38,-356.76,-1.55,,,,
SLONG11,2025-08-07,-241.44,0.00,104.50,104.52,-241.44,-0.02,1102598.44,0.00,1111832.38,0.00,-0.45,,,,
SLONG12,2025-08-07,-7615.75,0.00,102.13,102.84,-7615.75,-0.69,1102598.44,0.00,1111832.38,0.00,-1.94,,,,
SLONG13,2025-08-07,-9540.91,0.00,99.30,100.17,-9540.91,-0.87,1102598.44,0.00,1111832.38,0.00,-1.87,,,,
SLONG14,2025-08-07,-6820.15,0.00,98.73,99.34,-6820.15,-0.62,1102598.44,0.00,1111832.38,0.00,-1.59,,,,
SLONG15,2025-08-07,-9540.91,0.00,100.94,101.82,-9540.91,-0.87,1102598.44,0.00,1111832.38,0.00,-1.64,,,,
SLONG16,2025-08-07,-6820.15,0.00,101.48,102.11,-6820.15,-0.62,1102598.44,0.00,1111832.38,0.00,-1.46,,,,
SLONG17,2025-08-07,-9540.91,0.00,98.17,99.03,-9540.91,-0.87,1102598.44,0.00,1111832.38,0.00,-2.14,,,,
SLONG18,2025-08-07,-6820.15,0.00,98.11,98.72,-6820.15,-0.62,1102598.44,0.00,1111832.38,0.00,-2.21,,,,
SLONG19,2025-08-07,-9540.91,0.00,99.76,100.63,-9540.91,-0.87,1102598.44,0.00,1111832.38,0.00,-1.89,,,,
SLONG2,2025-08-07,-7615.75,356.76,101.36,102.06,-7615.75,-0.69,1102598.44,-356.76,1111832.38,-356.76,-1.58,,,,
SLONG20,2025-08-07,-6820.15,0.00,100.43,101.06,-6820.15,-0.62,1102598.44,0.00,1111832.38,0.00,-1.52,,,,
SLONG21,2025-08-07,4674.47,0.00,98.45,98.03,4674.47,0.42,1102598.44,0.00,1111832.38,0.00,-1.74,,,,
SLONG22,2025-08-07,4674.47,0.00,98.22,97.81,4674.47,0.42,1102598.44,0.00,1111832.38,0.00,-1.97,,,,
SLONG23,2025-08-07,4674.47,0.00,98.41,97.99,4674.47,0.42,1102598.44,0.00,1111832.38,0.00,-1.85,,,,
SLONG24,2025-08-07,4674.47,0.00,98.27,97.86,4674.47,0.42,1102598.44,0.00,1111832.38,0.00,-1.89,,,,
SLONG3,2025-08-07,-241.44,0.00,102.59,102.61,-241.44,-0.02,1102598.44,0.00,1111832.38,0.00,-0.54,,,,
SLONG4,2025-08-07,-7615.75,0.00,102.13,102.84,-7615.75,-0.69,1102598.44,0.00,1111832.38,0.00,-1.89,,,,
SLONG5,2025-08-07,-241.44,0.00,101.02,101.04,-241.44,-0.02,1102598.44,0.00,1111832.38,0.00,-0.78,,,,
SLONG6,2025-08-07,-7615.75,356.76,101.26,101.96,-7615.75,-0.69,1102598.44,-356.76,1111832.38,-356.76,-1.55,,,,
SLONG7,2025-08-07,-241.44,0.00,102.46,102.48,-241.44,-0.02,1102598.44,0.00,1111832.38,0.00,-0.54,,,,
SLONG8,2025-08-07,-7615.75,0.00,101.98,102.69,-7615.75,-0.69,1102598.44,0.00,1111832.38,0.00,-1.93,,,,
SLONG9,2025-08-07,-241.44,0.00,102.00,102.02,-241.44,-0.02,1102598.44,0.00,1111832.38,0.00,-0.78,,,,
Large Cap Stock Holdings,2025-08-07,18522150.00,0.00,97.91,97.53,72600.00,0.39,18449550.00,18449550.00,18487600.00,-38050.00,-6.01,,,,
Liquidbees Stock Holdings,2025-08-07,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Liquidcase Stock Holdings,2025-08-07,4427247.30,0.00,100.67,100.66,403.10,0.01,4426844.20,4426844.20,4426441.10,403.10,0.00,,,,
Small Cap Stock Holdings,2025-08-07,26609356.00,0.00,97.02,97.05,-6688.00,-0.03,26616044.00,26616044.00,26992732.00,-376688.00,-7.25,,,,
Debt Stock Holdings,2025-08-07,4427247.30,0.00,100.66,100.65,403.10,0.01,4426844.20,4426844.20,4426441.10,403.10,0.00,,,,
Equity Stock Holdings,2025-08-07,45131506.00,0.00,97.41,97.26,65912.00,0.15,45065594.00,45065594.00,45480332.00,-414738.00,-6.72,,,,
Stock Holdings,2025-08-07,49558753.30,0.00,97.69,97.56,66315.10,0.13,49492438.20,49492438.20,49906773.10,-414334.90,-6.12,,,,
Miscellaneous P&L,2025-08-07,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Total Tax,2025-08-07,-2230.97,1614.79,100.00,100.00,-2230.97,0.00,0.00,-1614.79,0.00,0.00,0.00,,,,
Equity Holdings Tax,2025-08-07,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Equity Intraday Tax,2025-08-07,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
F&O Tax,2025-08-07,-2230.97,1614.79,100.00,100.00,-2230.97,0.00,0.00,-1614.79,0.00,0.00,0.00,,,,
MCX Tax,2025-08-07,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Total Other Debits and Credits,2025-08-07,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
Equity Other Debits and Credits,2025-08-07,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
NPSAR,2025-08-07,3376785.75,-37943.22,102.27,102.00,68990.43,0.26,26462362.58,3345738.52,26683977.10,10241.38,-0.28,,,,
SPSAR,2025-08-07,3371197.94,-31010.97,102.29,102.05,63402.62,0.24,26462362.58,3338806.27,26683977.10,3309.13,0.00,,,,
NLONG,2025-08-07,-60562.48,0.00,98.33,98.56,-60562.48,-0.23,26462362.56,0.00,26683977.12,0.00,-2.27,,,,
SLONG,2025-08-07,-93889.50,1070.28,100.60,100.96,-93889.50,-0.35,26462362.56,-1070.28,26683977.12,-1070.28,-1.23,,,,
PSAR,2025-08-07,6747983.70,-68954.18,102.28,102.02,132393.05,0.25,52924725.16,6684544.79,53367954.20,13550.51,-0.10,,,,
LONG,2025-08-07,-154451.98,1070.28,98.47,98.76,-154451.98,-0.29,52924725.12,-1070.28,53367954.24,-1070.28,-2.03,,,,
Total Portfolio Value,2025-08-07,6591300.75,-66269.11,100.62,100.67,-24289.90,-0.05,52924725.00,6681859.72,53367954.00,10865.44,-1.57,,,,
Zerodha Total Portfolio,2025-08-07,52980687.64,0.00,98.43,98.35,42025.20,0.08,52938662.44,52938662.44,53342131.90,-403469.46,-6.20,,,,
NPSAR1,2025-08-08,192399.96,2775.83,104.36,103.81,7841.25,0.53,1476469.68,181782.88,1470131.26,-1983.53,0.00,,,,
NPSAR10,2025-08-08,406865.13,-14375.33,101.97,102.23,-8391.96,-0.25,3322056.75,429632.42,3307795.31,16158.01,-1.34,,,,
NPSAR11,2025-08-08,409036.55,-17892.99,104.04,104.24,-6220.54,-0.19,3322056.75,433150.08,3307795.31,19675.67,-0.19,,,,
NPSAR12,2025-08-08,410400.88,-17355.34,102.00,102.15,-4856.21,-0.15,3322056.75,432612.43,3307795.31,19138.02,-0.15,,,,
NPSAR13,2025-08-08,410499.67,-17318.16,101.22,101.37,-4757.42,-0.14,3322056.75,432575.25,3307795.31,19100.84,-1.35,,,,
NPSAR2,2025-08-08,192399.96,2775.83,102.98,102.44,7841.25,0.53,1476469.68,181782.88,1470131.26,-1983.53,0.00,,,,
NPSAR3,2025-08-08,192399.96,373.50,100.52,99.99,7841.25,0.53,1476469.68,184185.21,1470131.26,418.80,-0.27,,,,
NPSAR4,2025-08-08,192399.96,373.50,101.84,101.30,7841.25,0.53,1476469.68,184185.21,1470131.26,418.80,0.00,,,,
NPSAR5,2025-08-08,192399.96,373.50,102.62,102.08,7841.25,0.53,1476469.68,184185.21,1470131.26,418.80,0.00,,,,
NPSAR6,2025-08-08,176697.69,4369.37,101.11,101.65,-7861.02,-0.53,1476469.68,180189.34,1470131.26,-3577.07,-1.65,,,,
NPSAR7,2025-08-08,177961.54,1144.74,100.98,101.43,-6597.17,-0.45,1476469.68,183413.97,1470131.26,-352.44,-1.48,,,,
NPSAR8,2025-08-08,177961.54,549.52,102.03,102.49,-6597.17,-0.45,1476469.68,184009.19,1470131.26,242.78,-1.46,,,,
NPSAR9,2025-08-08,180247.54,-522.98,102.98,103.28,-4311.17,-0.29,1476469.68,185081.69,1470131.26,1315.28,-1.23,,,,
SPSAR1,2025-08-08,189984.71,-78.70,103.67,103.29,5426.00,0.37,1476469.68,184637.41,1470131.26,871.00,0.00,,,,
SPSAR10,2025-08-08,411163.91,-9062.13,101.98,102.11,-4093.18,-0.12,3322056.75,424319.22,3307795.31,10844.81,-0.89,,,,
SPSAR11,2025-08-08,413065.51,-14701.90,103.13,103.20,-2191.58,-0.07,3322056.75,429958.99,3307795.31,16484.58,-0.07,,,,
SPSAR12,2025-08-08,414357.70,-13208.80,103.38,103.41,-899.39,-0.03,3322056.75,428465.89,3307795.31,14991.48,-0.03,,,,
SPSAR13,2025-08-08,413694.41,-13208.80,102.89,102.94,-1562.68,-0.05,3322056.75,428465.89,3307795.31,14991.48,-0.05,,,,
SPSAR2,2025-08-08,189984.71,-78.70,102.68,102.30,5426.00,0.37,1476469.68,184637.41,1470131.26,871.00,0.00,,,,
